numerology,speed,block size,mcs,channel,beta,mse
0,0,256,18,CDL_A,9.999996141323484,0.06381122203189556
0,0,256,18,CDL_D,9.999998860091914,0.02623877147965204
0,0,512,18,CDL_A,10.93272824807418,0.05393940448185943
0,0,512,18,CDL_D,5.39851269785274,0.026874775433319113
0,0,1024,18,CDL_A,26.740954538709968,0.05297412890925235
0,0,1024,18,CDL_D,7.097265678761156,0.02918593637976615
0,0,2048,18,CDL_A,17.256540679858475,0.04848075665808045
0,0,2048,18,CDL_D,9.472414993952956,0.03196528840852612
0,0,4096,18,CDL_A,24.42288862740952,0.04408521712279811
0,0,4096,18,CDL_D,15.490486590385723,0.03200156818339991
0,0,8192,18,CDL_A,23.350943808747882,0.04428948359670417
0,0,8192,18,CDL_D,22.616202331316583,0.03925367850027291
0,0,256,19,CDL_A,9.999992303004529,0.06544206671769014
0,0,256,19,CDL_D,9.999997604928065,0.027922941260382535
0,0,512,19,CDL_A,14.160238913999923,0.05564599552584052
0,0,512,19,CDL_D,9.103853829727575,0.02909452218673462
0,0,1024,19,CDL_A,31.86228267337662,0.05666009843336632
0,0,1024,19,CDL_D,11.444215074585891,0.030557326860916594
0,0,2048,19,CDL_A,25.403452443636755,0.04803321829972849
0,0,2048,19,CDL_D,13.992287833375837,0.0314133626921157
0,0,4096,19,CDL_A,34.496230302449405,0.0454017002612344
0,0,4096,19,CDL_D,26.12562632163066,0.03266525254182638
0,0,8192,19,CDL_A,31.77253013969089,0.042735140287255405
0,0,8192,19,CDL_D,27.28970625297567,0.037803468321318
0,0,256,20,CDL_A,9.999995081217568,0.06556253745555976
0,0,256,20,CDL_D,9.999997947728726,0.028240631570218687
0,0,512,20,CDL_A,17.899866994448413,0.05484095706944188
0,0,512,20,CDL_D,7.268359641432892,0.027588173502264345
0,0,1024,20,CDL_A,36.555383449667275,0.05236564020452643
0,0,1024,20,CDL_D,17.070994101766274,0.02986913497655837
0,0,2048,20,CDL_A,34.415036502431654,0.0486273292978237
0,0,2048,20,CDL_D,15.362094335919585,0.032581192433388494
0,0,4096,20,CDL_A,49.208645497982246,0.045650741876928094
0,0,4096,20,CDL_D,27.756420379214337,0.0332871237255414
0,0,8192,20,CDL_A,56.3892941746587,0.04451519508079521
0,0,8192,20,CDL_D,36.629076584268645,0.038117342335861226
0,0,256,21,CDL_A,9.999995001149237,0.06510705279326129
0,0,256,21,CDL_D,9.999997103509264,0.026922031820718995
0,0,512,21,CDL_A,32.89475812204191,0.05841408444266126
0,0,512,21,CDL_D,11.296256912132312,0.027803228706326018
0,0,1024,21,CDL_A,66.74794279297961,0.05576293508739087
0,0,1024,21,CDL_D,23.489076032927393,0.03053025629158687
0,0,2048,21,CDL_A,43.58009003439777,0.04837095390657685
0,0,2048,21,CDL_D,28.06534314474037,0.033290572079172666
0,0,4096,21,CDL_A,51.16026081115542,0.04320398223563864
0,0,4096,21,CDL_D,43.211007464876275,0.03332087389052145
0,0,8192,21,CDL_A,58.81759780299218,0.04188658849156788
0,0,8192,21,CDL_D,62.999479949478044,0.03847791509556324
0,0,256,22,CDL_A,9.999991213869619,0.06461804508608326
0,0,256,22,CDL_D,9.999996627452777,0.026511627234381597
0,0,512,22,CDL_A,32.69586827174415,0.06101205794234327
0,0,512,22,CDL_D,18.079313224940982,0.026246213063269623
0,0,1024,22,CDL_A,72.52236382233443,0.052325609345033386
0,0,1024,22,CDL_D,29.250715654795563,0.0313715115846438
0,0,2048,22,CDL_A,81.29877752117606,0.05325403237979572
0,0,2048,22,CDL_D,27.43463075489003,0.03360384862745432
0,0,4096,22,CDL_A,105.87313142283706,0.046557411576572776
0,0,4096,22,CDL_D,45.32391022017659,0.032859180536638236
0,0,8192,22,CDL_A,107.34080987985467,0.04263553561392001
0,0,8192,22,CDL_D,62.54013894405837,0.03866181559729306
0,0,256,23,CDL_A,9.999989330419183,0.06389679678992807
